Brand, Product_Name, Original_Price, Current_Price, Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TGAMING OC-8GD,$1152.27 (4 Offers)–,$1152.27 (4 Offers)–,$45.00 Shipping
MSI,MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Ventus 3X 8G OC,$1198.22 (2 Offers)–,$1198.22 (2 Offers)–,$49.99 Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30710J-10P,$1399.67 –,$1399.67 –,Free Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3060-O12G-V2-GAMING,$818.69 (3 Offers)–,$818.69 (3 Offers)–,$49.99 Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card TUF-RTX3060TI-O8G-V2-GAMING LHR,$949.99 –,$949.99 –,Free Shipping
MSI,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 3X 12G OC LHR,$799.99 –,$799.99 –,Free Shipping
MSI,MSI GeForce RTX 3060 Ti ITX 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti AERO ITX OC 8G LHR,$1009.29 (3 Offers)–,$1009.29 (3 Offers)–,Free Shipping
MSI,MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Gaming X Trio 8G,$1191.99 (4 Offers)–,$1191.99 (4 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3070 GAMING OC 8GB Video Card| GV-N3070GAMING OC-8GD,$1242.07 (4 Offers)–,$1242.07 (4 Offers)–,Free Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TGAMING OC-8GD REV 2.0,$904.09 (2 Offers)–,$904.09 (2 Offers)–,$45.00 Shipping
MSI,MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming X Trio 12G LHR,$776.92 (4 Offers)–,$776.92 (4 Offers)–,$45.00 Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3070GAMING OC-8GD (REV 2.0),$1096.04 (3 Offers)–,$1096.04 (3 Offers)–,$45.00 Shipping
ASUS,ASUS ROG STRIX GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3060TI-O8G-V2-GAMING LHR,$965.24 (3 Offers)–,$965.24 (3 Offers)–,$45.00 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3070 EAGLE OC 8GB Video Card| GV-N3070EAGLE OC-8GD,$1189.46 (3 Offers)–,$1189.46 (3 Offers)–,$49.99 Shipping
MSI,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 VENTUS 2X 12G LHR,$799.99 –,$799.99 –,$49.99 Shipping
ASUS,ASUS TUF Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card TUF-RTX3070TI-O8G-GAMING,$1299.99 –,$1299.99 –,Free Shipping
MSI,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC LHR,$799.99 –,$799.99 –,Free Shipping
GIGABYTE,GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TVISION OC-8GD,$1299.99 –,$1299.99 –,Free Shipping
MSI,MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti GAMING Z TRIO LHR|Graphics card bracket included,$898.99 –,$898.99 –,$49.99 Shipping
EVGA,EVGA GeForce RTX 3060 12GB XC GAMING GDDR6 Video Graphics Card GPU,$1528.30 –,$1528.30 –,Free Shipping
GIGABYTE,GIGABYTE Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070GAMING OC-8GD (rev. 2.0),$1099.65 –,$1099.65 –,$49.99 Shipping
N/A,COLORFUL iGame GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Ultra W OC 8G,$1269.99 –,$1269.99 –,Free Shipping
N/A,COLORFUL iGame GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Ultra OC LHR,$959.99 –,$959.99 –,Free Shipping
EVGA,EVGA GeForce RTX 3060Ti 8GB XC Gaming LHR GDDR6 GPU Video Conference Bundle,$1099.99 –,$1099.99 –,Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3060TI-O8G-V2-GAMING LHR,$1029.99 (2 Offers)–,$1029.99 (2 Offers)–,Free Shipping
EVGA,EVGA GeForce RTX 3070 Ti 8GB XC3 ULTRA GAMING LED GDDR6X Video Conference Bundle (w/ Speaker Mic| Monitor| Webcam),$1499.99 –,$1499.99 –,Free Shipping
ASUS,ASUS DUAL GeForce RTX 3060 OC Edition Gaming Graphics Card (PCIe 4.0| 12GB GDDR6 Memory| HDMI 2.1| DisplayPort 1.4a| 2-slot Design| Axial-tech Fan Design| 0dB Technology)| DUAL-RTX3060-O12G-V2,$763.86 (3 Offers)–,$763.86 (3 Offers)–,$49.99 Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB Video Card| GV-N3070AORUS M-8GD (REV2.0),$1193.79 (3 Offers)–,$1193.79 (3 Offers)–,$45.00 Shipping
MSI,MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3060 Ti Gaming Z TRIO  8G LHR,$1014.74 (3 Offers)–,$1014.74 (3 Offers)–,$45.00 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3070 EAGLE OC 8GB Video Card| GV-N3070EAGLE OC-8GD (REV2.0),$1049.99 –,$1049.99 –,Free Shipping
MSI,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 3X 12G OC LHR,$798.97 (3 Offers)–,$798.97 (3 Offers)–,$49.99 Shipping
ASUS,ASUS Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 Video Card DUAL-RTX3060-O12G-V2,$829.99 (2 Offers)–,$829.99 (2 Offers)–,Free Shipping
MSI,MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming X Trio 12G LHR,$859.99 (2 Offers)–,$859.99 (2 Offers)–,Free Shipping
